datetime,value
2024-06-06T06:00:00Z,2186.0
2024-06-06T12:00:00Z,3363.0
2024-06-06T18:00:00Z,2441.0
2024-06-07T00:00:00Z,1624.0
2024-06-07T06:00:00Z,1715.0
2024-06-07T12:00:00Z,1810.0
2024-06-07T18:00:00Z,2457.0
2024-06-08T00:00:00Z,1592.0
2024-06-08T06:00:00Z,1900.0
2024-06-08T12:00:00Z,1881.0
2024-06-08T18:00:00Z,1349.0
2024-06-09T00:00:00Z,836.0
2024-06-09T06:00:00Z,1534.0
2024-06-09T12:00:00Z,1382.0
2024-06-09T18:00:00Z,1358.0
2024-06-10T00:00:00Z,1442.0
2024-06-10T06:00:00Z,2048.0
2024-06-10T12:00:00Z,2866.0
2024-06-10T18:00:00Z,2211.0
2024-06-11T00:00:00Z,1827.0
2024-06-11T06:00:00Z,3125.0
2024-06-11T12:00:00Z,3446.0
2024-06-11T18:00:00Z,2496.0
2024-06-12T00:00:00Z,1600.0
2024-06-12T06:00:00Z,2287.0
2024-06-12T12:00:00Z,3283.0
2024-06-12T18:00:00Z,2342.0
2024-06-13T00:00:00Z,1663.0
2024-06-13T06:00:00Z,2063.0
2024-06-13T12:00:00Z,2864.0
2024-06-13T18:00:00Z,2278.0
2024-06-14T00:00:00Z,1566.0
2024-06-14T06:00:00Z,1942.0
2024-06-14T12:00:00Z,2720.0
2024-06-14T18:00:00Z,2841.0
2024-06-15T00:00:00Z,1395.0
2024-06-15T06:00:00Z,1680.0
2024-06-15T12:00:00Z,1619.0
2024-06-15T18:00:00Z,1246.0
2024-06-16T00:00:00Z,888.0
2024-06-16T06:00:00Z,1313.0
2024-06-16T12:00:00Z,1402.0
2024-06-16T18:00:00Z,1355.0
2024-06-17T00:00:00Z,1204.0
2024-06-17T06:00:00Z,2099.0
2024-06-17T12:00:00Z,2749.0
2024-06-17T18:00:00Z,2040.0
2024-06-18T00:00:00Z,2351.0
2024-06-18T06:00:00Z,2230.0
2024-06-18T12:00:00Z,2707.0
2024-06-18T18:00:00Z,2159.0
2024-06-19T00:00:00Z,1528.0
2024-06-19T06:00:00Z,2090.0
2024-06-19T12:00:00Z,2039.0
2024-06-19T18:00:00Z,1649.0
2024-06-20T00:00:00Z,1130.0
2024-06-20T06:00:00Z,2228.0
2024-06-20T12:00:00Z,2646.0
2024-06-20T18:00:00Z,2191.0
2024-06-21T00:00:00Z,1422.0
2024-06-21T06:00:00Z,2579.0
2024-06-21T12:00:00Z,2283.0
2024-06-21T18:00:00Z,2615.0
2024-06-22T00:00:00Z,1299.0
2024-06-22T06:00:00Z,1397.0
2024-06-22T12:00:00Z,1362.0
2024-06-22T18:00:00Z,1181.0
2024-06-23T00:00:00Z,930.0
2024-06-23T06:00:00Z,827.0
2024-06-23T12:00:00Z,1598.0
2024-06-23T18:00:00Z,1328.0
2024-06-24T00:00:00Z,1434.0
2024-06-24T06:00:00Z,3065.0
